,Country,Company,Year,Rocket,MissionStatus,RocketStatus
0,Kazakhstan,RVSN USSR,1957,Sputnik 8K71PS,Success,Retired
1,Kazakhstan,RVSN USSR,1957,Sputnik 8K71PS,Success,Retired
2,USA,US Navy,1957,Vanguard,Failure,Retired
3,USA,AMBA,1958,Juno I,Success,Retired
4,USA,US Navy,1958,Vanguard,Failure,Retired
5,USA,AMBA,1958,Juno I,Failure,Retired
6,USA,US Navy,1958,Vanguard,Success,Retired
7,USA,AMBA,1958,Juno I,Success,Retired
8,Kazakhstan,RVSN USSR,1958,Sputnik 8A91,Failure,Retired
9,USA,US Navy,1958,Vanguard,Failure,Retired
10,Kazakhstan,RVSN USSR,1958,Sputnik 8A91,Success,Retired
11,USA,US Navy,1958,Vanguard,Failure,Retired
12,USA,US Navy,1958,Vanguard,Failure,Retired
13,USA,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired
14,USA,AMBA,1958,Juno I,Success,Retired
15,USA,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired
16,USA,US Air Force,1958,Thor-DM 18 Able I,Failure,Retired
17,USA,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired
18,USA,AMBA,1958,Juno I,Failure,Retired
19,USA,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired
20,USA,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired
21,USA,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired
22,Kazakhstan,RVSN USSR,1958,Vostok,Failure,Retired
23,USA,US Navy,1958,Vanguard,Failure,Retired
24,USA,NASA,1958,Thor-DM 18 Able I,Partial Failure,Retired
25,Kazakhstan,RVSN USSR,1958,Vostok,Failure,Retired
26,USA,AMBA,1958,Juno I,Failure,Retired
27,USA,NASA,1958,Thor-DM 18 Able I,Failure,Retired
28,Kazakhstan,RVSN USSR,1958,Vostok,Failure,Retired
29,USA,AMBA,1958,Juno II,Partial Failure,Retired
30,USA,US Air Force,1958,SM-65B Atlas,Success,Retired
31,Kazakhstan,RVSN USSR,1959,Vostok,Partial Failure,Retired
32,USA,US Navy,1959,Vanguard,Success,Retired
33,USA,US Air Force,1959,Thor-DM18 Agena-A,Failure,Retired
34,USA,US Air Force,1959,Thor-DM18 Agena-A,Success,Retired
35,USA,US Navy,1959,Vanguard,Failure,Retired
36,USA,US Air Force,1959,Thor-DM18 Agena-A,Failure,Retired
37,Kazakhstan,RVSN USSR,1959,Vostok,Failure,Retired
38,USA,US Navy,1959,Vanguard,Failure,Retired
39,USA,US Air Force,1959,Thor-DM18 Agena-A,Failure,Retired
40,USA,US Air Force,1959,Thor DM-18 Able-III,Success,Retired
41,USA,US Air Force,1959,Thor-DM18 Agena-A,Success,Retired
42,USA,US Air Force,1959,Thor-DM18 Agena-A,Success,Retired
43,USA,NASA,1959,Atlas-D Mercury,Partial Failure,Retired
44,Kazakhstan,RVSN USSR,1959,Vostok,Success,Retired
45,USA,US Air Force,1959,Thor DM-18 Able-II,Failure,Retired
46,USA,US Navy,1959,Vanguard,Partial Failure,Retired
47,Kazakhstan,RVSN USSR,1959,Vostok,Success,Retired
48,USA,US Air Force,1959,Thor-DM18 Agena-A,Success,Retired
49,USA,US Air Force,1959,Thor-DM18 Agena-A,Failure,Retired
50,USA,General Dynamics,1959,Atlas-D Able,Failure,Retired
51,USA,US Air Force,1960,Thor-DM18 Agena-A,Failure,Retired
52,USA,US Air Force,1960,Thor-DM18 Agena-A,Failure,Retired
53,USA,General Dynamics,1960,Atlas-LV3 Agena-A,Failure,Retired
54,USA,US Air Force,1960,Thor DM-18 Able-IV,Success,Retired
55,USA,US Air Force,1960,Thor DM-18 Able-II,Success,Retired
56,USA,US Air Force,1960,Thor-DM21 Ablestar,Success,Retired
57,Kazakhstan,RVSN USSR,1960,Vostok,Failure,Retired
58,USA,US Air Force,1960,Thor-DM18 Agena-A,Success,Retired
59,Kazakhstan,RVSN USSR,1960,Vostok,Failure,Retired
60,USA,US Air Force,1960,Thor DM-19 Delta,Failure,Retired
61,Kazakhstan,RVSN USSR,1960,Vostok,Success,Retired
62,USA,General Dynamics,1960,Atlas-LV3 Agena-A,Success,Retired
63,USA,US Air Force,1960,Thor-DM21 Ablestar,Success,Retired
64,USA,US Air Force,1960,Thor-DM18 Agena-A,Failure,Retired
65,Kazakhstan,RVSN USSR,1960,Vostok,Failure,Retired
66,USA,NASA,1960,Atlas-D Mercury,Failure,Retired
67,USA,US Air Force,1960,Thor-DM18 Agena-A,Success,Retired
68,USA,US Air Force,1960,Thor DM-19 Delta,Success,Retired
69,USA,US Air Force,1960,Thor-DM18 Agena-A,Success,Retired
70,USA,US Air Force,1960,Thor-DM21 Ablestar,Failure,Retired
71,Kazakhstan,RVSN USSR,1960,Vostok,Success,Retired
72,USA,US Air Force,1960,Thor-DM18 Agena-A,Success,Retired
73,USA,General Dynamics,1960,Atlas-D Able,Failure,Retired
74,USA,US Air Force,1960,Thor-DM21 Ablestar,Success,Retired
75,Kazakhstan,RVSN USSR,1960,Molniya,Failure,Retired
76,USA,General Dynamics,1960,Atlas-LV3 Agena-A,Failure,Retired
77,Kazakhstan,RVSN USSR,1960,Molniya,Failure,Retired
78,USA,US Air Force,1960,Thor DM-21 Agena-B,Failure,Retired
