,Company,Country,Location,Date,Rocket,Mission
0,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/10/1957,Sputnik 8K71PS,Sputnik-1
1,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",03/11/1957,Sputnik 8K71PS,Sputnik-2
2,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",06/12/1957,Vanguard,Vanguard TV3
3,AMBA,USA,"LC-26A, Cape Canaveral AFS, Florida, USA",01/02/1958,Juno I,Explorer 1
4,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",05/02/1958,Vanguard,Vanguard TV3BU
5,AMBA,USA,"LC-26A, Cape Canaveral AFS, Florida, USA",05/03/1958,Juno I,Explorer 2
6,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",17/03/1958,Vanguard,Vanguard 1
7,AMBA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",26/03/1958,Juno I,Explorer 3
8,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",27/04/1958,Sputnik 8A91,Sputnik-3 #1
9,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",28/04/1958,Vanguard,Vanguard TV5
10,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/05/1958,Sputnik 8A91,Sputnik-3 #2
11,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",28/05/1958,Vanguard,Vanguard SLV-1
12,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",26/06/1958,Vanguard,Vanguard SLV-2
13,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25/07/1958,NOTS-EV-1 Pilot II,Pilot-1 (D1)
14,AMBA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",26/07/1958,Juno I,Explorer 4
15,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",12/08/1958,NOTS-EV-1 Pilot II,Pilot-2 (D2)
16,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",17/08/1958,Thor-DM 18 Able I,Pioneer 0
17,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",22/08/1958,NOTS-EV-1 Pilot II,Pilot-3 (D3)
18,AMBA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",24/08/1958,Juno I,Explorer 5
19,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25/08/1958,NOTS-EV-1 Pilot II,Pilot-4 (R1)
20,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",26/08/1958,NOTS-EV-1 Pilot II,Pilot-5 (R2)
21,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",29/08/1958,NOTS-EV-1 Pilot II,Pilot-6 (R3
22,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",23/09/1958,Vostok,E-1 nâ Â­1 (Luna-1)
23,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",26/09/1958,Vanguard,Vanguard SLV-3
24,NASA,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/10/1958,Thor-DM 18 Able I,Pioneer 1
25,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/10/1958,Vostok,E-1 nâ Â­2 (Luna-1)
26,AMBA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",23/10/1958,Juno I,Beacon 1
27,NASA,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",08/11/1958,Thor-DM 18 Able I,Pioneer 2
28,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/12/1958,Vostok,E-1 nâ Â­3 (Luna-1)
29,AMBA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",06/12/1958,Juno II,Pioneer 3
30,US Air Force,USA,"LC-11, Cape Canaveral AFS, Florida, USA",18/12/1958,SM-65B Atlas,SCORE
31,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02/01/1959,Vostok,Luna-1
32,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",17/02/1959,Vanguard,Vanguard 2
33,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",28/02/1959,Thor-DM18 Agena-A,Discoverer 1
34,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/04/1959,Thor-DM18 Agena-A,Discoverer 2
35,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",14/04/1959,Vanguard,Vanguard SLV-5
36,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",03/06/1959,Thor-DM18 Agena-A,Discoverer 3
37,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",18/06/1959,Vostok,E-1A nâ Â­1 (Luna-2)
38,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",22/06/1959,Vanguard,Vanguard SLV-6
39,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",25/06/1959,Thor-DM18 Agena-A,Discoverer 4
40,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",07/08/1959,Thor DM-18 Able-III,Explorer 6
41,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/08/1959,Thor-DM18 Agena-A,Discoverer 5
42,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19/08/1959,Thor-DM18 Agena-A,Discoverer 6
43,NASA,USA,"LC-14, Cape Canaveral AFS, Florida, USA",09/09/1959,Atlas-D Mercury,Big Joe 1
44,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/09/1959,Vostok,Luna-2
45,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",17/09/1959,Thor DM-18 Able-II,Transit 1A
46,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",18/09/1959,Vanguard,Vanguard 3
47,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/10/1959,Vostok,Luna-3
48,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07/11/1959,Thor-DM18 Agena-A,Discoverer 7
49,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20/11/1959,Thor-DM18 Agena-A,Discoverer 8
50,General Dynamics,USA,"LC-14, Cape Canaveral AFS, Florida, USA",26/11/1959,Atlas-D Able,Pioneer P-3
51,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",04/02/1960,Thor-DM18 Agena-A,Discoverer 9
52,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19/02/1960,Thor-DM18 Agena-A,Discoverer 10
53,General Dynamics,USA,"LC-14, Cape Canaveral AFS, Florida, USA",26/02/1960,Atlas-LV3 Agena-A,Midas 1
54,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/03/1960,Thor DM-18 Able-IV,Pioneer 5
55,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",01/04/1960,Thor DM-18 Able-II,TIROS-1
56,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",13/04/1960,Thor-DM21 Ablestar,Transit 1B
57,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/04/1960,Vostok,E-3 nâ Â­2 (Luna-3)
58,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15/04/1960,Thor-DM18 Agena-A,Discoverer 11
59,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",16/04/1960,Vostok,E-3 nâ Â­3 (Luna-3)
60,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",13/05/1960,Thor DM-19 Delta,Echo 1
61,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/05/1960,Vostok,Korabl-Sputnik 1
