Family Id,No,Config,Status,Price,Liftoff Thrust,Payload to LEO,Payload to GTO,Stages,Strap-ons,Rocket Height,Fairing Diameter,Fairing Height
3.0,1.0,Falcon 9 Block 1 (v1.0),Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2,0,54.9 m,5.2 m,13.0 m
3.0,2.0,Falcon 9 Block 2 (v1.1),Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2,0,68.4 m,5.2 m,13.0 m
3.0,3.0,Falcon 9 Block 3 (v1.2/FT),Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m
3.0,4.0,Falcon 9 Block 4,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m
3.0,5.0,Falcon 9 Block 5,Active,$50.0 million,"7,607 kN","22,800 kg","8,300 kg",2,0,70.0 m,5.2 m,13.0 m
4.0,1.0,Electron,Active,$7.5 million,225 kN,300 kg,,2,0,17.0 m,1.2 m,
4.0,2.0,Electron/Curie,Active,$7.5 million,225 kN,300 kg,,3,0,17.0 m,1.2 m,2.5 m
4.0,3.0,Electron/Photon,Active,,162 kN,300 kg,,3,0,17.0 m,1.2 m,
5.0,1.0,SLS Block 1,Planned,$876.0 million,"39,440 kN","95,000 kg",,2,2,98.1 m,5.1 m,14.3 m
5.0,2.0,SLS Block 1B,Planned,$876.0 million,"39,440 kN","105,000 kg",,2,2,111.0 m,,
9.0,1.0,Ariane 1,Retired,,"2,772 kN","4,850 kg","1,850 kg",4,0,47.388 m,,
7.0,1.0,Delta II 6920-10,Retired,,"3,481 kN","3,950 kg",,2,9,38.9 m,3.0 m,8.9 m
7.0,2.0,Delta II 6920-8,Retired,,"3,481 kN","3,983 kg",,2,9,38.1 m,2.4 m,8.49 m
7.0,3.0,Delta II 6925,Retired,,"3,481 kN",,"1,447 kg",3,9,38.1 m,2.9 m,8.49 m
7.0,4.0,Delta II 6925-8,Retired,,"3,481 kN",,"1,460 kg",3,9,38.1 m,2.4 m,8.49 m
7.0,5.0,Delta II 7320-10C,Retired,,"2,533 kN","2,703 kg",,2,3,38.9 m,3.0 m,8.9 m
