Family Id,Family,Missions,Successes,Partial Failures,Failures,Success Streak,Success Rate
3,Falcon 9,138.0,135.0,1.0,2.0,109.0,98.2%
4,Electron,23.0,20.0,0.0,3.0,3.0,87.0%
5,SLS,,,,,,
9,Ariane 1,11.0,9.0,0.0,2.0,6.0,81.8%
7,Delta II,155.0,153.0,1.0,1.0,100.0,99.0%
25,Atlas V,91.0,90.0,1.0,0.0,81.0,99.5%
10,Long March 1,2.0,2.0,0.0,0.0,2.0,100%
26,Antares,15.0,14.0,0.0,1.0,10.0,93.3%
28,Minotaur C (Taurus),10.0,7.0,0.0,3.0,1.0,70.0%
29,Saturn I,10.0,10.0,0.0,0.0,10.0,100%
31,Vega,20.0,18.0,0.0,2.0,3.0,90.0%
32,SLV,4.0,2.0,1.0,1.0,1.0,62.5%
33,ASLV,4.0,1.0,1.0,2.0,1.0,37.5%
34,PSLV,53.0,50.0,1.0,2.0,12.0,95.3%
35,GSLV Mk I & II,14.0,8.0,2.0,4.0,0.0,64.3%
37,Rokot,34.0,31.0,2.0,1.0,14.0,94.1%
36,Space Shuttle,135.0,133.0,0.0,2.0,22.0,98.5%
38,Kuaizhou 1,2.0,2.0,0.0,0.0,2.0,100%
40,Proton-M,112.0,100.0,4.0,8.0,0.0,91.1%
41,Epsilon,5.0,5.0,0.0,0.0,5.0,100%
45,LauncherOne,4.0,3.0,0.0,1.0,3.0,75.0%
46,Kaituozhe-2,1.0,1.0,0.0,0.0,1.0,100%
47,SSLV,,,,,,
48,Simorgh,4.0,0.0,0.0,4.0,0.0,0%
49,ZhuQue-1,1.0,0.0,0.0,1.0,0.0,0%
51,Juno I,6.0,3.0,0.0,3.0,0.0,50.0%
50,Zenit,84.0,71.0,3.0,10.0,4.0,86.3%
53,NOTS-EV-1,6.0,2.0,0.0,4.0,0.0,33.3%
52,Vanguard,11.0,2.0,1.0,8.0,0.0,22.7%
57,Mu-III,19.0,17.0,1.0,1.0,0.0,92.1%
55,Titan II,25.0,24.0,0.0,1.0,9.0,96.0%
59,Energiya,2.0,2.0,0.0,0.0,2.0,100%
58,Angara A5,3.0,2.0,0.0,1.0,0.0,66.7%
60,Safir-1,9.0,4.0,0.0,5.0,0.0,44.4%
62,Firefly Alpha,1.0,0.0,0.0,1.0,0.0,0%
61,N1,4.0,0.0,0.0,4.0,0.0,0%
64,Black Arrow,2.0,1.0,0.0,1.0,1.0,50.0%
63,OS-M1,1.0,0.0,0.0,1.0,0.0,0%
65,Europa,4.0,0.0,0.0,4.0,0.0,0%
66,Diamant,12.0,9.0,1.0,2.0,3.0,79.2%
67,New Glenn,,,,,,
68,Athena I,4.0,3.0,0.0,1.0,3.0,75.0%
70,Vulcan Centaur,,,,,,
74,Taepodong-1,1.0,0.0,0.0,1.0,0.0,0%
72,Shtil',2.0,2.0,0.0,0.0,2.0,100%
76,VLS-1,3.0,0.0,0.0,3.0,0.0,0%
75,Shavit,13.0,9.0,0.0,4.0,5.0,69.2%
77,KSLV,4.0,1.0,0.0,3.0,0.0,25.0%
78,Lambda 4S,5.0,1.0,0.0,4.0,1.0,20.0%
79,SS-520,2.0,1.0,0.0,1.0,1.0,50.0%
80,H-II,7.0,5.0,1.0,1.0,0.0,78.6%
81,Hyperbola-1,3.0,1.0,0.0,2.0,0.0,33.3%
83,R-36 Orb,24.0,20.0,0.0,4.0,16.0,83.3%
82,Jielong-1,1.0,1.0,0.0,0.0,1.0,100%
86,Terran 1,,,,,,
88,Ariane 2,6.0,5.0,0.0,1.0,5.0,83.3%
89,Ariane 3,11.0,10.0,0.0,1.0,6.0,90.9%
90,Ariane 4,116.0,113.0,0.0,3.0,74.0,97.4%
91,Ariane 5,112.0,107.0,3.0,2.0,15.0,96.9%
92,Ariane 6,,,,,,
93,Athena II,3.0,2.0,0.0,1.0,1.0,66.7%
94,Atlas LV-3B,10.0,7.0,1.0,2.0,6.0,75.0%
95,Atlas III,6.0,6.0,0.0,0.0,6.0,100%
97,Delta IV Medium,29.0,29.0,0.0,0.0,29.0,100%
98,Delta IV Heavy,13.0,12.0,1.0,0.0,12.0,96.2%
99,N-I,7.0,6.0,0.0,1.0,2.0,85.7%
100,N-II,8.0,8.0,0.0,0.0,8.0,100%
101,H-I,9.0,9.0,0.0,0.0,9.0,100%
102,Thor-Able,7.0,3.0,1.0,3.0,2.0,50.0%
104,Falcon Heavy,3.0,3.0,0.0,0.0,3.0,100%
105,H-III,,,,,,
106,Kuaizhou 11,1.0,0.0,0.0,1.0,0.0,0%
107,Kuaizhou 1A,14.0,12.0,0.0,2.0,0.0,85.7%
108,Long March 11,11.0,11.0,0.0,0.0,11.0,100%
111,Long March 2C,59.0,58.0,0.0,1.0,27.0,98.3%
110,Long March 2A,4.0,3.0,0.0,1.0,3.0,75.0%
113,Long March 2E,7.0,3.0,2.0,2.0,1.0,57.1%
112,Long March 2D,58.0,57.0,1.0,0.0,26.0,99.1%
114,Long March 2F,16.0,16.0,0.0,0.0,16.0,100%
119,Long March 4A,2.0,2.0,0.0,0.0,2.0,100%
115,Long March 3,141.0,133.0,6.0,2.0,17.0,96.5%
120,Long March 4B,45.0,44.0,0.0,1.0,25.0,97.8%
121,Long March 4C,39.0,37.0,0.0,2.0,13.0,94.9%
123,Long March 5B,2.0,2.0,0.0,0.0,2.0,100%
122,Long March 5,5.0,4.0,0.0,1.0,3.0,80.0%
124,Long March 6,8.0,8.0,0.0,0.0,8.0,100%
126,Long March 8,1.0,1.0,0.0,0.0,1.0,100%
125,Long March 7,7.0,6.0,0.0,1.0,4.0,85.7%
127,Minotaur I,12.0,12.0,0.0,0.0,12.0,100%
128,Minotaur IV,5.0,5.0,0.0,0.0,5.0,100%
130,Mu-IV,4.0,3.0,0.0,1.0,3.0,75.0%
129,Minotaur V,1.0,1.0,0.0,0.0,1.0,100%
131,Mu-V,7.0,6.0,0.0,1.0,4.0,85.7%
132,Pegasus,45.0,40.0,2.0,3.0,31.0,91.1%
133,Proton-K,310.0,275.0,2.0,33.0,19.0,89.0%
134,Proton,4.0,3.0,0.0,1.0,1.0,75.0%
135,Cosmos-3,479.0,450.0,8.0,21.0,22.0,94.8%
137,Volna,1.0,0.0,0.0,1.0,0.0,0%
138,Tsyklon-2,106.0,102.0,2.0,2.0,18.0,97.2%
139,Tsyklon-3,122.0,114.0,3.0,5.0,1.0,94.7%
140,Molniya-M,280.0,265.0,13.0,2.0,4.0,97.0%
141,Soyuz 2.1a,57.0,55.0,1.0,1.0,35.0,97.4%
142,Soyuz 2.1b,71.0,68.0,1.0,2.0,35.0,96.5%
143,Soyuz 2.1v,7.0,6.0,1.0,0.0,5.0,92.9%
144,Soyuz FG,70.0,69.0,0.0,1.0,5.0,98.6%
145,Soyuz U,859.0,835.0,2.0,22.0,1.0,97.3%
146,Sputnik 8A91,2.0,1.0,0.0,1.0,1.0,50.0%
147,Sputnik 8K71PS,2.0,2.0,0.0,0.0,2.0,100%
148,Vostok,26.0,16.0,1.0,9.0,7.0,63.5%
149,Vostok-2,140.0,129.0,4.0,7.0,65.0,93.6%
150,Juno II,10.0,4.0,1.0,5.0,0.0,45.0%
151,Redstone Sparta,1.0,1.0,0.0,0.0,1.0,100%
153,Saturn V,13.0,12.0,1.0,0.0,11.0,96.2%
152,Saturn IB,9.0,9.0,0.0,0.0,9.0,100%
156,Start-1,7.0,5.0,1.0,1.0,5.0,78.6%
157,Unha-2,1.0,0.0,0.0,1.0,0.0,0%
158,Unha-3,3.0,2.0,0.0,1.0,2.0,66.7%
169,Delta 4000 Series,2.0,2.0,0.0,0.0,2.0,100%
167,Strela,3.0,3.0,0.0,0.0,3.0,100%
170,Delta III,3.0,1.0,0.0,2.0,1.0,33.3%
172,Firefly Beta,,,,,,
171,Falcon 1,5.0,2.0,0.0,3.0,2.0,40.0%
173,SM-65B Atlas,1.0,1.0,0.0,0.0,1.0,100%
174,Starship-Super Heavy,,,,,,
176,Miura 5,,,,,,
177,Voskhod,299.0,283.0,3.0,13.0,46.0,95.2%
179,H-IIA,45.0,44.0,0.0,1.0,39.0,97.8%
178,GSLV Mk III,4.0,4.0,0.0,0.0,4.0,100%
180,H-IIB,9.0,9.0,0.0,0.0,9.0,100%
183,Angara 1,1.0,1.0,0.0,0.0,1.0,100%
181,Atlas-Altair,1.0,1.0,0.0,0.0,1.0,100%
184,Conestoga-1,1.0,0.0,0.0,1.0,0.0,0%
188,Mercury-Redstone,6.0,5.0,0.0,1.0,5.0,83.3%
189,Kaituozhe-1,2.0,0.0,0.0,2.0,0.0,0%
191,ZhuQue-2,,,,,,
190,Feng Bao 1,11.0,7.0,0.0,4.0,1.0,63.6%
193,Polyot,2.0,2.0,0.0,0.0,2.0,100%
192,Dnepr,22.0,21.0,0.0,1.0,15.0,95.5%
194,Soyuz,32.0,30.0,0.0,2.0,3.0,93.8%
195,Soyuz L,3.0,3.0,0.0,0.0,3.0,100%
196,Soyuz M,8.0,6.0,2.0,0.0,6.0,87.5%
197,Molniya,40.0,22.0,2.0,16.0,6.0,57.5%
199,New Shepard,19.0,19.0,0.0,0.0,19.0,100%
200,SARGE,,,,,,
204,Atlas-Able,3.0,0.0,0.0,3.0,0.0,0%
202,Delta 3000 Series,38.0,36.0,0.0,2.0,5.0,94.7%
205,Atlas-Agena,109.0,89.0,5.0,15.0,7.0,83.9%
206,Super Stripy,1.0,0.0,0.0,1.0,0.0,0%
207,Tsyklon-2A,8.0,6.0,0.0,2.0,0.0,75.0%
208,Cosmos-1,38.0,26.0,0.0,12.0,3.0,68.4%
