Launch Id,Launch Status,Launch Suborbital,Rocket Name,Rocket Organisation,Rocket Price,Rocket Payload to LEO,Location,Launch Year,Launch Year Mon,USD/kg to LEO,2021 Mult,USD/kg to LEO CPI Adjusted,Rocket Price CPI Adjusted,Dum
3,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-05,27192.98246,1.079101738,29343.99462,66.90430773,1
4,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-06,27192.98246,1.079101738,29343.99462,66.90430773,1
5,Success,Orbital,Falcon Heavy,SpaceX,90,63800,"LC-39A, Kennedy Space Center, Florida, USA",2018,2018-02,14106.58307,1.079101738,15222.4383,97.11915638,1
6,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-06,27192.98246,1.079101738,29343.99462,66.90430773,1
7,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-04,27192.98246,1.079101738,29343.99462,66.90430773,1
9,Success,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2010,2010-06,56937.79904,1.242662435,70754.46402,73.9384149,1
10,Success,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2010,2010-12,56937.79904,1.242662435,70754.46402,73.9384149,1
11,Success,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2012,2012-05,56937.79904,1.180213769,67198.77439,70.22271923,1
12,Partial Failure,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2012,2012-10,56937.79904,1.180213769,67198.77439,70.22271923,1
13,Success,Orbital,Falcon 9 Block 1 (v1.0),SpaceX,59.5,10450,"SLC-40, Cape Canaveral SFS, Florida, USA",2013,2013-03,56937.79904,1.163176037,66228.68343,69.20897419,1
14,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-4E, Vandenberg SFB, California, USA",2013,2013-09,42965.77947,1.163176037,49976.76508,65.71944608,1
15,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2013,2013-12,42965.77947,1.163176037,49976.76508,65.71944608,1
16,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-01,42965.77947,1.14460834,49178.98952,64.67037122,1
17,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-04,42965.77947,1.14460834,49178.98952,64.67037122,1
18,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-07,42965.77947,1.14460834,49178.98952,64.67037122,1
19,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-08,42965.77947,1.14460834,49178.98952,64.67037122,1
21,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-09,42965.77947,1.14460834,49178.98952,64.67037122,1
20,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2014,2014-09,42965.77947,1.14460834,49178.98952,64.67037122,1
22,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-01,42965.77947,1.143251328,49120.68443,64.59370003,1
23,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-02,42965.77947,1.143251328,49120.68443,64.59370003,1
25,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-04,42965.77947,1.143251328,49120.68443,64.59370003,1
24,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-03,42965.77947,1.143251328,49120.68443,64.59370003,1
27,Failure,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-06,42965.77947,1.143251328,49120.68443,64.59370003,1
26,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-04,42965.77947,1.143251328,49120.68443,64.59370003,1
28,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2015,2015-12,27192.98246,1.143251328,31088.4133,70.88158233,1
29,Success,Orbital,Falcon 9 Block 2 (v1.1),SpaceX,56.5,13150,"SLC-4E, Vandenberg SFB, California, USA",2016,2016-01,42965.77947,1.129008737,48508.74042,63.78899365,1
30,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-03,27192.98246,1.129008737,30701.11478,69.99854171,1
31,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-04,27192.98246,1.129008737,30701.11478,69.99854171,1
32,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-05,27192.98246,1.129008737,30701.11478,69.99854171,1
