Country,Active,Retired,TotalCompaniesPerCountry,Company,Year,Rocket,MissionStatus,RocketStatus,Location,Date,Mission,SuccessfulLaunches,UnsuccessfulLaunches,SuccessToFailureRatio,SuccesfullLaunches,UnsuccessfullLaunches,TotalLaunches
Australia,0.0,6.0,,,,,,,,,,,,,,,
Barents Sea,0.0,3.0,,,,,,,,,,,,,,,
Brazil,0.0,3.0,,,,,,,,,,,,,,,
China,303.0,62.0,,,,,,,,,,,,,,,
France,128.0,190.0,,,,,,,,,,,,,,,
Gran Canaria,2.0,0.0,,,,,,,,,,,,,,,
India,56.0,26.0,,,,,,,,,,,,,,,
Iran,12.0,4.0,,,,,,,,,,,,,,,
Israel,5.0,6.0,,,,,,,,,,,,,,,
Japan,42.0,88.0,,,,,,,,,,,,,,,
Kazakhstan,51.0,668.0,,,,,,,,,,,,,,,
Kenya,0.0,9.0,,,,,,,,,,,,,,,
New Mexico,4.0,0.0,,,,,,,,,,,,,,,
New Zealand,28.0,0.0,,,,,,,,,,,,,,,
North Korea,3.0,2.0,,,,,,,,,,,,,,,
Pacific Missile Range Facility,1.0,0.0,,,,,,,,,,,,,,,
Pacific Ocean,0.0,36.0,,,,,,,,,,,,,,,
Russia,57.0,1359.0,,,,,,,,,,,,,,,
Shahrud Missile Test Site,1.0,0.0,,,,,,,,,,,,,,,
South Korea,2.0,3.0,,,,,,,,,,,,,,,
USA,312.0,1155.0,,,,,,,,,,,,,,,
Yellow Sea,3.0,0.0,,,,,,,,,,,,,,,
USA,,,19.0,,,,,,,,,,,,,,
Kazakhstan,,,11.0,,,,,,,,,,,,,,
Russia,,,9.0,,,,,,,,,,,,,,
China,,,8.0,,,,,,,,,,,,,,
France,,,5.0,,,,,,,,,,,,,,
Japan,,,4.0,,,,,,,,,,,,,,
Australia,,,3.0,,,,,,,,,,,,,,
Iran,,,2.0,,,,,,,,,,,,,,
Yellow Sea,,,1.0,,,,,,,,,,,,,,
South Korea,,,1.0,,,,,,,,,,,,,,
Shahrud Missile Test Site,,,1.0,,,,,,,,,,,,,,
Pacific Ocean,,,1.0,,,,,,,,,,,,,,
Pacific Missile Range Facility,,,1.0,,,,,,,,,,,,,,
North Korea,,,1.0,,,,,,,,,,,,,,
New Zealand,,,1.0,,,,,,,,,,,,,,
New Mexico,,,1.0,,,,,,,,,,,,,,
Kenya,,,1.0,,,,,,,,,,,,,,
Israel,,,1.0,,,,,,,,,,,,,,
India,,,1.0,,,,,,,,,,,,,,
Gran Canaria,,,1.0,,,,,,,,,,,,,,
Brazil,,,1.0,,,,,,,,,,,,,,
Barents Sea,,,1.0,,,,,,,,,,,,,,
Kazakhstan,,,,RVSN USSR,1957,Sputnik 8K71PS,Success,Retired,,,,,,,,,
Kazakhstan,,,,RVSN USSR,1957,Sputnik 8K71PS,Success,Retired,,,,,,,,,
USA,,,,US Navy,1957,Vanguard,Failure,Retired,,,,,,,,,
USA,,,,AMBA,1958,Juno I,Success,Retired,,,,,,,,,
USA,,,,US Navy,1958,Vanguard,Failure,Retired,,,,,,,,,
USA,,,,AMBA,1958,Juno I,Failure,Retired,,,,,,,,,
USA,,,,US Navy,1958,Vanguard,Success,Retired,,,,,,,,,
USA,,,,AMBA,1958,Juno I,Success,Retired,,,,,,,,,
Kazakhstan,,,,RVSN USSR,1958,Sputnik 8A91,Failure,Retired,,,,,,,,,
USA,,,,US Navy,1958,Vanguard,Failure,Retired,,,,,,,,,
Kazakhstan,,,,RVSN USSR,1958,Sputnik 8A91,Success,Retired,,,,,,,,,
USA,,,,US Navy,1958,Vanguard,Failure,Retired,,,,,,,,,
USA,,,,US Navy,1958,Vanguard,Failure,Retired,,,,,,,,,
USA,,,,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired,,,,,,,,,
USA,,,,AMBA,1958,Juno I,Success,Retired,,,,,,,,,
USA,,,,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired,,,,,,,,,
USA,,,,US Air Force,1958,Thor-DM 18 Able I,Failure,Retired,,,,,,,,,
USA,,,,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired,,,,,,,,,
USA,,,,AMBA,1958,Juno I,Failure,Retired,,,,,,,,,
USA,,,,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired,,,,,,,,,
USA,,,,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired,,,,,,,,,
USA,,,,US Navy,1958,NOTS-EV-1 Pilot II,Failure,Retired,,,,,,,,,
Kazakhstan,,,,RVSN USSR,1958,Vostok,Failure,Retired,,,,,,,,,
USA,,,,US Navy,1958,Vanguard,Failure,Retired,,,,,,,,,
USA,,,,NASA,1958,Thor-DM 18 Able I,Partial Failure,Retired,,,,,,,,,
Kazakhstan,,,,RVSN USSR,1958,Vostok,Failure,Retired,,,,,,,,,
USA,,,,AMBA,1958,Juno I,Failure,Retired,,,,,,,,,
USA,,,,NASA,1958,Thor-DM 18 Able I,Failure,Retired,,,,,,,,,
Kazakhstan,,,,RVSN USSR,1958,Vostok,Failure,Retired,,,,,,,,,
USA,,,,AMBA,1958,Juno II,Partial Failure,Retired,,,,,,,,,
USA,,,,US Air Force,1958,SM-65B Atlas,Success,Retired,,,,,,,,,
Kazakhstan,,,,RVSN USSR,1959,Vostok,Partial Failure,Retired,,,,,,,,,
USA,,,,US Navy,1959,Vanguard,Success,Retired,,,,,,,,,
USA,,,,US Air Force,1959,Thor-DM18 Agena-A,Failure,Retired,,,,,,,,,
USA,,,,US Air Force,1959,Thor-DM18 Agena-A,Success,Retired,,,,,,,,,
USA,,,,US Navy,1959,Vanguard,Failure,Retired,,,,,,,,,
